publishedAt,title,tags,duration_in_seconds,viewCount,likeCount,Date of release ,# of days ,Views per day 
2012-03-03T16:54:16Z,Ten In The Bed | Super Simple Songs,"['Toddlerific', 'Preschool', 'nursery', 'www.supersimplelearning.com', 'Special Needs', 'Bedtime', 'Education', 'Kindergarten', 'ESL', 'Counting', 'Childrens Song', 'Counting Song', 'rhymes', 'Twinkle Twinkle Little Star', '10 in the bed', 'Kids Song', 'Kids English Song', 'Twinkle Twinkle', 'Bedtime song', 'SuperSimpleSongs', 'Teddy Bears', 'EFL', 'Bed Time', 'Super Simple Songs']",172,308253856,670536,2012-03-03,"4,235",72787
2017-01-05T16:30:30Z,Apples & Bananas | Super Simple Songs,"['apples and bananas', 'apples', 'bananas', 'apples and bananas song', 'apples song', 'bananas song', 'family', 'rhymes', 'Super Simple Songs', 'Super Simple', 'nursery rhyme', 'animation', 'bananas and apples', 'Super Simple Learning', 'classroom songs', 'vowels', 'vowel song', 'How Many Fingers?']",196,299205808,297040,2017-01-05,"2,466",121332
2016-04-06T15:30:00Z,Walking Walking | featuring Noodle & Pals | Super Simple Songs,"['nursery rhymes', 'kids', 'songs for children', 'learn', 'cartoon', 'frere jacques', '#nurseryrhymes', 'Are You Sleeping?', 'music for children', 'nursery', 'dancing', 'baby', 'songs', 'preschool', 'rhymes', 'animation', 'playing', 'kindergarten', 'walking song', 'Walking walking', 'kids song', 'kids songs', 'song for kids', 'songs for kids', '#childrensmusic', 'Super Simple Songs', 'walking', 'running', 'tiptoe', 'jump', 'active song', 'active song for kids', 'preschool song', 'kindergarten song']",112,295905662,413210,2016-04-06,"2,740",107995
2013-07-29T17:00:11Z,Sweet Dreams (Goodnight Song) | Super Simple Songs,"['nursery', 'Super Simple Learning', 'song for toddlers', 'English kids song', 'nursery school', 'www.supersimplelearning.com', 'autism', 'bedtime', 'lullaby for babies', 'bedtime song', 'kids songs', 'lullabies', 'bears lullaby', 'goodnight song', 'special education', 'rhymes', 'ESL songs', 'lullaby', 'Super Simple Songs', 'kindergarten', 'sweet dreams', 'preschool', 'childrens songs', 'nursery rhymes', 'songs for kids', 'English songs for kids', 'goodnight to you', 'goodnight to me', 'good night song', 'good night to you', 'good night to me']",188,264432859,332830,2013-07-29,"3,722",71046
2013-09-05T13:00:35Z,Walking In The Jungle | Super Simple Songs,"['Childrens Song', 'Super Simple Songs', 'Walking in the jungle', 'Preschool (Grade Level)', 'Jungle Song', 'Song (Composition Type)', 'Action songs', 'Super Simple Learning', 'Nursery school', 'Simple Songs', 'Kindergarten (Grade Level)', 'Song for kid', 'Action song for kids', 'Kids Song', 'Song for kids', 'Toddler (Gender Or Age Specific Animal Name)', 'Preschool Song', 'Preschool (Musical Album)', 'Nursery School (TV Genre)', 'Toddlerific', 'Child (Tagged Topic)', 'supersimplesongs', 'Super Simple Songs Playlist']",205,248619334,241962,2013-09-05,"3,684",67486
2014-10-29T12:30:02Z,"Go Away, Spooky Goblin! | Spooky Simple Song","['Halloween song for kids', 'rhymes', 'Preschool Halloween Song', 'Preschool', 'Super Simple Learning', 'Halloween Song', 'Super Simple Songs', 'Go Away Big Green Monster', 'Go Away', 'ESL', 'EFL', 'Halloween song for preschoolers', 'Mini Mysteries', 'nursery']",115,242657564,332112,2014-10-29,"3,265",74321
2013-10-31T14:30:01Z,Count And Move (HD) | Super Simple Songs,"['English song for kids', 'Toddler song', 'nursery', 'www.supersimplelearning.com', 'Count to Twenty', 'Super Simple Songs Playlist', 'Supersimplesongs', 'Preschool Song', 'Super Simple Songs', 'Count & Move', 'rhymes', 'Counting Song', 'Toddler', 'ESL Song for kids', 'ESL Song', 'Preschool (Grade Level)', 'Kids song', 'Kindergarten (Grade Level)', 'Kindergarten song', 'Count And Move', 'Preschool (Musical Album)', 'toddlerific', 'Counting song for kids', 'English song']",92,242063036,487307,2013-10-31,"3,628",66721
2015-08-08T15:30:00Z,Sweet Dreams + More | Nursery Rhymes & Lullabies | Super Simple Songs,"['Sweet Dreams', 'compilation', 'kids songs', 'Nursery Rhymes', 'Super Simple Songs', 'Row Row Row Your Boat', 'nursery', 'Lullaby', 'nursery rhyme', '#NurseryRhymes', 'goodnight song', 'bedtime song', 'Twinkle Twinkle Little Star', '#lullaby', 'Nursery Rhyme (Literature Subject)', 'nursery rhymes songs', 'nursery rhyme collection', 'rhymes', 'Little Snowflake', 'Lullabies', 'baby songs', 'bedtime', '#lullabies', 'goodnight to you', 'goodnight to me']",3017,235592302,472109,2015-08-08,"2,982",79005
2017-09-23T15:30:01Z,Baby Shark Halloween | featuring Finny The Shark | Super Simple Songs,"['halloween shark song', 'baby shark', 'kids songs', 'songs for kids', 'nursery rhymes', 'super simple songs', 'halloween', 'baby shark halloween', 'happy halloween', 'halloween songs', 'trick or treat', 'halloween costume', 'trick or treating', 'baby songs', 'children', 'nursery rhyme', 'songs', 'sing alongs', 'for kids', 'halloween ghost', 'pumpkin carving', 'bones', 'broomstick', 'cadaver', 'candy', 'carve', 'casket', 'cauldron', 'cemetery', 'cobweb', 'coffin', 'costume', 'creepy', 'frightening', 'ghost']",215,234069853,287626,2017-09-23,"2,205",106154
2015-07-29T15:30:00Z,Who Took The Cookie? | Nursery Rhyme | Super Simple Songs,"['nursery', 'Cookie (Type Of Dish)', 'do you like broccoli ice cream', 'kids songs', 'rhymes', 'food song', 'nursery rhymes', 'Super Simple Songs', 'Preschool (School Category)', 'Who Stole The Cookie From The Cookie Jar? (Composition)', 'Nursery Rhyme (Literature Subject)', 'kids', 'super simple learning', 'circletime', 'baby songs', 'nursery rhymes songs', 'Preschool game', 'www.supersimplelearing.com', 'nursery rhyme', 'Preschool song', 'cookie song']",123,233386709,266614,2015-07-29,"2,992",78004
2015-02-11T13:00:00Z,"Yes, I Can! | Animal Song For Children | Super Simple Songs","['nursery', 'preschool', 'animal song', ""children's song"", 'kindergarten song', 'www.supersimplelearning.com', 'song for toddlers', 'preschool song', 'Simple Songs (Composition)', 'Song for kids', 'kindergarten', 'kids animal song', 'Kids song', 'Super Simple Songs', 'rhymes', 'Animal Song for Children']",217,230410461,319023,2015-02-11,"3,160",72915
2015-06-10T12:00:01Z,Do You Like Spaghetti Yogurt? | Super Simple Songs,"['rhymes', 'Songs for Kids', 'Do You Like Broccoli Ice Cream?', 'Do You Like Spaghetti Yogurt?', 'kids song', 'family', 'food song for kids', 'preschool song', 'preschool', 'Kindergarten (Industry)', 'toddlers', 'food song', 'Kids Songs', 'supersimplesongs', 'www.supersimplelearing.com', 'Spaghetti (Food)', 'toddlerific', 'English song for kids', 'Spaghetti Song', 'Super Simple Learning', 'kindergarten song', 'nursery', 'Super Simple Songs', 'Broccoli Ice Cream', 'teachers', 'food', 'Spaghetti Yogurt', 'Yogurt (Ingredient)', 'Do you like song']",152,224696404,291268,2015-06-10,"3,041",73889
2015-05-13T07:07:13Z,Rain Rain Go Away | Super Simple Songs | Sesame Street Nursery Rhyme Week,"['ESL', 'kindergarten', 'nursery', 'kindergarten song', 'Super Simple Songs', 'preschool song', 'Rain Rain Go Away', 'EFL', 'Super Simple Learning', 'www.supersimplelearing.com', 'Sesame Street', 'Sesame Street (TV Program)', 'rhymes', 'Kids Songs', 'Nursery Rhyme Week', 'Simple Songs', 'rainy day song', 'song for toddlers', 'toddlerific', 'Songs for Kids', 'Nursery Rhyme (Literature Subject)', 'preschool', 'song for kids', 'rain song', 'English songs for kids', 'classroom song']",156,219651573,225212,2015-05-13,"3,069",71571
2015-01-07T13:00:07Z,Old MacDonald Had A Farm | + More Kids Songs and Nursery Rhymes,"['Nursery Rhymes', 'Nursery Rhymes Compilation', 'rhymes', 'www.supersimplelearning.com', 'Super Simple Songs', 'Nursery Rhyme (Literature Subject)', 'Old MacDonald Had A Farm (Composition)', 'Wheels On The Bus', 'Kids Songs', 'Old MacDonald', 'Old McDonald', 'Five Little Monkeys', 'Wheels On Fire (Musical Artist)', 'nursery', 'Compilation']",4832,213564178,288022,2015-01-07,"3,195",66843
